Meas,Label,Data
28,POCKET-2 Y Top,40.284
28,POCKET-3 Y Top,40.256
28,POCKET-1 X Bottom,25.254
28,POCKET-2 X Bottom,25.271
28,POCKET-3 X Bottom,25.259
28,POCKET-1 Y Bottom,40.247
28,POCKET-2 Y Bottom,40.236
28,POCKET-3 Y Bottom,40.257
29,EL,322.613
29,OL,315.149
29,TOW,135.935
29,BOW,135.865
29,TSL,311.265
29,BSL,311.785
29,TSW,132.156
29,BSW,132.815
29,TT,12.143
29,ST(A),10.132
29,ST(B),10.117
29,ST(C),10.139
29,ST(D),10.147
29,ST(E),10.111
29,ST(F),10.136
29,POCKET-1 X Top,25.302
29,POCKET-2 X Top,25.288
29,POCKET-3 X Top,25.285
29,POCKET-1 Y Top,40.285
29,POCKET-2 Y Top,40.283
29,POCKET-3 Y Top,40.254
29,POCKET-1 X Bottom,25.243
29,POCKET-2 X Bottom,25.258
29,POCKET-3 X Bottom,25.266
29,POCKET-1 Y Bottom,40.25
29,POCKET-2 Y Bottom,40.226
29,POCKET-3 Y Bottom,40.25
